,brewery_name,review_overall,beer_style,beer_name,beer_abv,beer_brew_name,unique_id,user_id
120,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,3024
121,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5461
122,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5087
123,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,288
124,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,8877
125,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,6943
126,Caldera Brewing Company,3.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,8252
127,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,4057
128,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,6103
129,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,2186
130,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,6510
131,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,930
132,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,3991
133,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,4486
134,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,2702
135,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,3931
136,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,7694
137,Caldera Brewing Company,3.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5481
138,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,10451
139,Caldera Brewing Company,3.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,4283
140,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5260
141,Caldera Brewing Company,3.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5884
142,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,2136
143,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,284
144,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,2487
145,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,4499
146,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,6643
147,Caldera Brewing Company,2.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,1167
148,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,4330
149,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,7371
150,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,4696
151,Caldera Brewing Company,3.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,8572
152,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,1146
153,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,211
154,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,3012
155,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,6982
156,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,9046
157,Caldera Brewing Company,3.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,3167
158,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5286
159,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,7209
160,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,3938
161,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5508
162,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,3492
163,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,3336
164,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,632
165,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,234
166,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,333
167,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,3644
168,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,7646
169,Caldera Brewing Company,5.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,8415
170,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,2669
171,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5061
172,Caldera Brewing Company,3.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,9484
173,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,10291
174,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,8933
175,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,2461
176,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,9689
177,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,333
178,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,895
179,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,4537
180,Caldera Brewing Company,3.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,1695
181,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,9024
182,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,6667
183,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,1491
184,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,9544
185,Caldera Brewing Company,3.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,7018
186,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,1348
187,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5797
188,Caldera Brewing Company,5.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,6952
189,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,10579
190,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,2472
191,Caldera Brewing Company,3.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,2640
192,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,942
193,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,8589
194,Caldera Brewing Company,5.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,3614
195,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,10357
196,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,2836
197,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,2990
198,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,5769
199,Caldera Brewing Company,4.0,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,3247
200,Caldera Brewing Company,4.5,American Pale Ale (APA),Caldera Pale Ale,5.5,Caldera Pale Ale (Caldera Brewing Company),3,3552
